"Source:","C:\Users\ic201239\Documents\KiCad\Servo_Controller\Servo_Controller.kicad_sch"
"Date:","2023/05/24 18:18:11"
"Tool:","Eeschema 7.0.2"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","29"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C5","2","100u","C_Polarized_Small","","Polarized capacitor, small symbol","",""
"C2, C4, C6, C7","4","0.1u","C_Small","","Unpolarized capacitor, small symbol","",""
"C3","1","0.33u","C_Small","","Unpolarized capacitor, small symbol","",""
"D1","1","SLR-332VC3F","LED","","Light emitting diode","",""
"D2","1","SLR-332MC3F","LED","","Light emitting diode","",""
"D3","1","SLR-332DC3F","LED","","Light emitting diode","",""
"D4","1","SLR-332YC3F","LED","","Light emitting diode","",""
"J1","1","2Cell","Conn_01x02_Pin","","Generic connector, single row, 01x02, script generated","",""
"J2","1","Servo_1","Conn_01x03_Pin","","Generic connector, single row, 01x03, script generated","",""
"J3","1","Servo_2","Conn_01x03_Pin","","Generic connector, single row, 01x03, script generated","",""
"J4","1","SIGNAL_INPUT","Conn_01x03_Pin","","Generic connector, single row, 01x03, script generated","",""
"R1, R2","2","640","R","","Resistor","",""
"R3, R4, R5","3","100","R","","Resistor","",""
"RV1","1","10k_B","R_Potentiometer","","Potentiometer","",""
"SW1","1","CENTER_SW","SW_Push","","Push button switch, generic, two pins","",""
"SW2","1","RST_SW","SW_Push","","Push button switch, generic, two pins","",""
"SW3","1","EN1_SW","SW_Push","","Push button switch, generic, two pins","",""
"SW4","1","EN2_SW","SW_Push","","Push button switch, generic, two pins","",""
"SW5","1","PWM1_SW","SW_SPDT","","Switch, single pole double throw","",""
"SW6","1","PWM2_SW","SW_SPDT","","Switch, single pole double throw","",""
"U1","1","NUCLEO_F303K8","NUCLEO_F303K8","NUCLEO:NUCLEO F303 K8","","",""
"U2","1","LM7806_TO220","LM7806_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","Positive 1A 35V Linear Regulator, Fixed Output 6V, TO-220","",""
