Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",CP_Radial_D8.0mm_P3.50mm,2,100u,
C2,C_Disc_D3.4mm_W2.1mm_P2.50mm,1,0.33u,
"C3, C5, C6, C7",C_Disc_D4.3mm_W1.9mm_P5.00mm,4,0.1u,
"D1, D2",D_DO-15_P10.16mm_Horizontal,2,PS2010R,
D3,LED_D3.0mm,1,SLR-332VC3F,
D4,LED_D3.0mm,1,SLR-332MC3F,
D5,LED_D3.0mm,1,SLR-332DC3F,
D6,LED_D3.0mm,1,SLR-332YC3F,
J1,Connector_T_Male,1,2Cell,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Servo_1,
J3,PinHeader_1x03_P2.54mm_Vertical,1,Servo_2,
J4,PinHeader_1x03_P2.54mm_Vertical,1,SIGNAL_INPUT,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,VIN_BATT,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,680,
"R3, R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,100,
RV1,Potentiometer_Alps_RK09K_Single_Vertical,1,10k_B,
SW1,Slide_SS12D01Gx,1,PWM1_SW,
SW2,Slide_SS12D01Gx,1,PWM2_SW,
SW3,SW_PUSH_6mm,1,RST_SW,
SW4,SW_PUSH_6mm,1,CENTER_SW,
SW5,SW_PUSH_6mm,1,EN1_SW,
SW6,SW_PUSH_6mm,1,EN2_SW,
U1,TO-220-3_Vertical,1,LM7806_TO220,
U2,NUCLEO F303 K8,1,NUCLEO_F303K8,
